$BlockNames
EXP_JointSet_1_Axle_111:EXP社 小型車軸
GCGeneratorStatic_222:GeoCorp社 中型ジェネレーター
GCGeneratorThermal_332:GeoCorp社 地熱発電機
GCJackHammer_244:GeoCorp社 鋭角ジャックハンマー
GCJackHammer_Straight_226:GeoCorp社 直線ジャックハンマー
GCLightFixed_111:GeoCorp社 投光器(シングル)
GCLightSpot_222:GeoCorp社 スポットライト
GCLightStrip_211:GeoCorp社 投光器(ツイン)
GCLightStud_111:GeoCorp社 ハザードランプ
GCMagnetCrane_255:GeoCorp社 APD 磁力クレーン
GCPlasmaCutter_222:GeoCorp社 直線プラズマカッター
GCPlasmaCutter_Angled_222:GeoCorp社 鋭角プラズマカッター
GCRamSpike_223:GeoCorp社 改良版ダイヤドリル
GCReceiver_212:GeoCorp社 資源レシーバー
GCRefinery_223:GeoCorp社 精製機
GCRegen_222:GeoCorp社 リペアフィールド発生機
GCRemoteCharger_212:GeoCorp社 ワイヤレス充電器
GCScrapMagnet_424:GeoCorp社 マグネット
GCScrapper_432:GeoCorp社 分解機
GCSCU_454:GeoCorp社 大型ストレージデバイス
GCSilo_424:GeoCorp社 混合スーパーサイロ
GCTerminal_212:GeoCorp社 オンライン通販端末
GCTrack_A_422:GeoCorp社 右キャタピラー
GCTrack_A_Mirrored_422:GeoCorp社 左キャタピラー
GCTrack_B_422:GeoCorp社 埋込キャタピラー
GCTractor_212:GeoCorp社 収穫コレクター
GCTractorPad_414:GeoCorp社 高容量コレクター"スコッティ"
GCTripleBore_234:GeoCorp社 三ツ首穿孔機
GCWheel_222:GeoCorp社 デコボコタイヤ
GCWheel_232:GeoCorp社 作業タイヤ
GCWheel_Stupid_588:GeoCorp社 ベヒーモスタイヤ
GCWheelMega_344:GeoCorp社 大型タイヤ
GCWheelMetal_222:GeoCorp社 クラッシャータイヤ
GCWheelMetal_332:GeoCorp社 ジョーズタイヤ
GSO_Exploder_A_111:GSO社 2点分離ボルト
GSO_Exploder_B_111:GSO社 6点分離ボルト
GSO_TB_Carbius_221:GSO社 圧縮カーバイトブロック
GSO_TB_Celestian_221:GSO社 圧縮セレスタイトブロック
GSO_TB_Erudian_221:GSO社 圧縮エルダイトブロック
GSO_TB_Fibron_221:GSO社 圧縮フィブロンブロック
GSO_TB_Ignian_221:GSO社 圧縮イグナイトブロック
GSO_TB_Luxian_221:GSO社 圧縮ルクサイトブロック
GSO_TB_Olastic_221:GSO社 圧縮オレイトブロック
GSO_TB_Plumbia_221:GSO社 圧縮メタリウムブロック
GSO_TB_Rodius_221:GSO社 圧縮ローダイトブロック
GSO_TB_Rubber_221:GSO社 圧縮ゴムブロック
GSO_TB_Titania_221:GSO社 圧縮チタニウムブロック
GSOAIController_111:GSO社 多目的AIモジュール"Multik"
GSOAIGuardController_111:GSO社 AIモジュール"グラントル"
GSOAlternator_111:GSO社 分別コンベア
GSOAltimeter_111:GSO社 高度計
GSOAnchorAI_121:GSO社 固定AIモジュール
GSOAnchorFixed_111:GSO社 固定アンカー
GSOAnchorRotating_111:GSO社 回転アンカー
GSOArmourPlateCab_111:GSO社 操縦ブロック用装甲板
GSOArmourPlateLarge_222:GSO社 装甲板(大)
GSOArmourPlateMedium_211:GSO社 装甲板(中)
GSOArmourPlateSmall_111:GSO社 装甲板(小)
GSOAutoMiner_324:GSO社 自動掘削機
GSOBaseFixed_212:GSO社 固定アンカー
GSOBattery_111:GSO社 小型バッテリーセル
GSOBlock_111:GSO社 基本ブロック1
GSOBlock_112:GSO社 基本ブロック2
GSOBlock_311:GSO社 基本ブロック3
GSOBlock_411:GSO社 基本ブロック4
GSOBlock_511:GSO社 基本ブロック5
GSOBlockHalf_111:GSO社 1/2ブロック1
GSOBlockHalfCorner_111:GSO社 角半ブロック
GSOBlockHalfCornerInside_111:GSO社 隅半ブロック
GSOBlockLongHalf_211:GSO社 1/2ブロック2
GSOBlockSkirting_121:GSO社 幅木ブロック
GSOBooster_112:GSO社 基本ブースター"テトロックス"
GSOCannonTurret_111:GSO社 3ポンド砲
GSOCockpit_111:GSO社 操縦ブロック"コスモノート"
GSOComponentFactory_323:GSO社 部品メーカー
GSOComponentFactory_Dongle_1_111:GSO社 拡張素子【先進的】
GSOComponentFactory_Dongle_2_111:GSO社 拡張素子【複合材】
GSOComponentFactory_Dongle_3_111:GSO社 拡張素子【異国風】
GSOConveyor_111:GSO社 コンベア
GSOConveyor_CCTurn_221:GSO社 上りコンベア
GSOConveyor_CVTurn_111:GSO社 下りコンベア
GSOConveyorStep_121:GSO社 段差コンベア
GSODeliCannon_221:GSO社 携行型納品キャノン
GSODeliCannon_222:GSO社 設置型納品キャノン
GSODispenserMini_111:GSO社 ブロック射出機
GSODropperConveyor_111:GSO社 ドロッパー
GSOFabricator_322:GSO社 合成機
GSOFan_221:GSO社 プロペラタービン
GSOFilter_111:GSO社 コンベアフィルター
GSOFixedDrill_111:GSO社 ミニドリル
GSOFixedDrill_112:GSO社 削岩ドリル
GSOFuelTank_121:GSO社 小型ポッパー燃料タンク
GSOFuelTank_222:GSO社 大型ポッパ燃料タンク
GSOGaugeFuel_111:GSO社 燃料計
GSOGaugePower_111:GSO社 電池残量計
GSOGenerator_211:GSO社 携行型火力発電機
GSOGenerator_212:GSO社 小型発電機
GSOGeneratorSolar_141:GSO社 太陽光発電機
GSOGeneratorStatic_212:GSO社 固定型火力発電機
GSOHeart_343:GSO社 固定型SCU ストレージデバイス
GSOHover_212:GSO社 大型ホバープレート
GSOHoverJet_111:GSO社 小型ホバープレート
GSOLaserFixed_111:GSO社 低周波レーザー"コイル"
GSOLaserForward_111:GSO社 高周波レーザー"スタッド"
GSOLightFixed_111:GSO社 ウィンカーライト
GSOLightSpot_111:GSO社 SOSライト
GSOLightStrip_211:GSO社 誘蛾灯
GSOLightStud_111:GSO社 風防付ランタン
GSOMediumCannon_222:GSO社 メガトンキャノン
GSOMegaBooster_112:GSO社 四連ブースター
GSOMGunFixed_111:GSO社 ZK-47小型マシンガン
GSOMiniMissile_222:GSO社 ミサイル砲台
GSOMortarFixed_211:GSO社 八連迫撃砲
GSOPacemaker_111:GSO社 ペースメーカー
GSOPlough_211:GSO社 ブレード
GSOPlough_311:GSO社 プッシュブレード
GSOPloughCowCatcher_321:GSO社 排障ブレード
GSOPowerSource_222:GSO社 主電源
GSORadar_111:GSO社 基本レーダー"クレイヴン"
GSOReceiver_111:GSO社 資源レシーバー
GSOReceiver_312:GSO社 大型資源レシーバー
GSORefinery_222:GSO社 精製機
GSORegen_111:GSO社 リペアフィールド発生機
GSORemoteCharger_111:GSO社 ワイヤレス充電器
GSOScrapMagnet_222:GSO社 ブロックマグネット
GSOScrapMagnetMini_111:GSO社 ミニブロックマグネット
GSOScrapper_322:GSO社 分解機
GSOShield_111:GSO社 バリアフィールド発生器
GSOShop_121:GSO社 オンライン通販端末
GSOShotgunCombat_111:GSO社 コンバットショットガン
GSOSilo_111:GSO社 基本サイロ
GSOSilo_212:GSO社 混合四連サイロ
GSOSilo_313:GSO社 混合大型サイロ
GSOSteeringThruster_111:GSO社 2方向ブースター
GSOTrack_112:GSO社 無限軌道"テッカ"
GSOTractorMini_111:GSO社 コレクター"シンブル"
GSOTractorPad_212:GSO社 フラットベッドコレクター
GSOVendor_Block:GSO社 交易所
GSOVendor_Conveyor:GSO社 交易所
GSOVendor_DeliCannon:GSO社 交易所
GSOVendor_MissionBoard:GSO社 交易所
GSOVendor_Receiver:GSO社 交易所
GSOVendor_Terminal:GSO社 交易所
GSOWheel_111:GSO社 ダートタイヤ
GSOWheel_222:GSO社 バンパータイヤ
GSOWheel_233:GSO社 タイヤ"マッディドッグ"
GSOWheelGroundClearing_211:GSO社 底上げタイヤ
GSOWheelHub_111:GSO社 ハブ式タイヤ
GSOWheelSmall_111:GSO社 トレッカータイヤ
GSOWheelStabiliser_111:GSO社 スタビライザー
GSOWheelTall_121:GSO社 ハイローラー
GSOWingLeft_312:GSO社 飛行用の左翼"ハイウィンド"
GSOWingMini_311:GSO社 小型エアロフォイル
GSOWingRight_312:GSO社 飛行用の右翼"ハイウィンド"
GSOWingTail_122:GSO社 飛行用の垂直尾翼
HE_AIModule_Guard_112:Hawkeye社 AIモジュール"カウンター"
HE_AITurret_112:Hawkeye社 セントリーAI "ヘリオス"
HE_AnchorFixed_212:Hawkeye社 固定アンカー
HE_AnchorRotating_212:Hawkeye社 回転アンカー
HE_ArmouredBlock_10_111:Hawkeye社 小型防御装甲
HE_ArmouredBlock_11_121:Hawkeye社 中型防御装甲
HE_ArmouredBlock_12_131:Hawkeye社 大型防御装甲
HE_ArmouredWheel_13_111:Hawkeye社 ギャリソンタイヤ
HE_BlockSkirting_121:Hawkeye社 幅木ブロック
HE_Bracket_01_22_111:Hawkeye社 大型支柱
HE_Bracket_02_23_111:Hawkeye社 小型支柱
HE_Bracket_03_24_111:Hawkeye社 中型支柱
HE_Bracket_4AP_111:Hawkeye社 角支柱
HE_Bracket_Alt_01_111:Hawkeye社 接続支柱
HE_Cab_07_111:Hawkeye社 操縦ブロック"ハンター"
HE_CannonTurret_327:Hawkeye社 HG1 砲塔(Alt)
HE_CannonTurret_Short_525:Hawkeye社 HG1 砲塔
HE_Chain_Gun_29_111:Hawkeye社 連発ライフル
HE_Collector_111:Hawkeye社 耐久コレクター
HE_Cruise_Missile_51_121:Hawkeye社 巡航ミサイル
HE_DeliveryCannon_353:Hawkeye社 設置型納品キャノン
HE_Fabricator_332:Hawkeye社 合成機
HE_Fan_16_111:Hawkeye社 ローターファン
HE_Fuel_131:Hawkeye社 燃料タンク
HE_Jet_25_111:Hawkeye社 大型ジェットエンジン
HE_JetEngine_112:Hawkeye社 小型ジェットエンジン
HE_LandingGear_32_111:Hawkeye社 離着陸タイヤ
HE_Laser_Targeting_111:Hawkeye社 ターゲットレーザー
HE_Light_Stud_111:Hawkeye社 信号灯
HE_MachineGun_33_111:Hawkeye社 マシンガン
HE_Mini_Gun_20_111:Hawkeye社 自動機関砲
HE_Missile_Pod_28_111:Hawkeye社 誘導ミサイルポッド
HE_Pylon_17_111:Hawkeye社 武装用パイロン
HE_RailGun_113:Hawkeye社 レールガン
HE_Refinery_232:Hawkeye社 精製機
HE_Regen_112:Hawkeye社 リペアフィールド
HE_Rotor_Large_19_111:Hawkeye社 大型ローター
HE_Rotor_Small_18_111:Hawkeye社 中型ローター
HE_ScrapMagnet_212:Hawkeye社 ブロックマグネット
HE_Scrapper_323:Hawkeye社 分解機
HE_SCU_343:Hawkeye社 クリスタルストレージデバイス
HE_SensorPod_30_111:Hawkeye社 ポインターレーダー
HE_Shield_111:Hawkeye社 シールド"ハヴォック"
HE_Shotgun_112:Hawkeye社 バヨネットショットガン
HE_StdBlock_01_111:Hawkeye社 ブロック1
HE_StdBlock_08_121:Hawkeye社 ブロック2
HE_StdBlock_Alt_1_02_111:Hawkeye社 ブロック1 (Alt1)
HE_StdBlock_Alt_1_09_121:Hawkeye社 ブロック2 (Alt2)
HE_StdBlock_Alt_2_03_111:Hawkeye社 L字型支柱
HE_StdBlock_Alt_2_09_121:Hawkeye社 長尺支柱
HE_StdBlock_Alt_3_04_111:Hawkeye社 ブロック1(Alt3)
HE_StdBlock_Alt_4_05_111:Hawkeye社 平支柱
HE_StdBlock_Alt_4_06_111:Hawkeye社 ブロック1(Alt5)
HE_Suppressed_MGun_111:Hawkeye社 バースト銃
HE_Tail_Wing_27_111:Hawkeye社 プリューム翼
HE_TB_Carbius_222:Hawkeye社 圧縮カーバイトブロック
HE_TB_Celestian_222:Hawkeye社 圧縮セレスタイトブロック
HE_TB_Erudian_222:Hawkeye社 圧縮エルダイトブロック
HE_TB_Fibron_222:Hawkeye社 圧縮フィブロンブロック
HE_TB_Ignian_222:Hawkeye社 圧縮イグナイトブロック
HE_TB_Luxian_222:Hawkeye社 圧縮ルクサイトブロック
HE_TB_Olastic_222:Hawkeye社 圧縮オレイトブロック
HE_TB_Plumbia_222:Hawkeye社 圧縮メタリウムブロック
HE_TB_Rodius_222:Hawkeye社 圧縮ローダイトブロック
HE_TB_Rubber_222:Hawkeye社 圧縮ゴムブロック
HE_TB_Titania_222:Hawkeye社 圧縮チタニウムブロック
HE_Terminal_111:Hawkeye社 オンライン通販端末
HE_Tracks_21_111:Hawkeye社 戦車用履帯
HE_Wheel_14_111:Hawkeye社 トレッドタイヤ
HE_Wheel_Single_02_122:Hawkeye社 傾車輪
HE_Wheel_Single_121:Hawkeye社 直車輪
HE_Wing_26_111:Hawkeye社 直翼
HE_Wing_Wheel_31_111:Hawkeye社 補助タイヤ
HE_WingTip_121:Hawkeye社 翼端パーツ
SPE_Moustache_111:巨大な口髭
SPE_Sombrero_323:SRQ ソンブレーロ帽
SPEBeardGreen_111:緑のいかつい顎髭
SPEBeardWhite_111:楽しそうな白ヒゲ
SPEBirthdayHat_111:バースデーケーキ帽
SPEBowlerHat_111:山高帽
SPEBunnyEars_111:春ウサギの耳
SPEColourBlock01_Black_111:基本ブロック(黒)
SPEColourBlock02_Grey_111:基本ブロック(灰)
SPEColourBlock03_White_111:基本ブロック(白)
SPEColourBlock04_Purple_111:基本ブロック(紫)
SPEColourBlock05_DarkBlue_111:基本ブロック(紺)
SPEColourBlock06_Blue_111:基本ブロック(青)
SPEColourBlock07_LightBlue_111:基本ブロック(空)
SPEColourBlock08_LightGreen_111:基本ブロック(薄緑)
SPEColourBlock09_Green111:基本ブロック(緑)
SPEColourBlock10_YellowGreen_111:基本ブロック(黄緑)
SPEColourBlock11_Yellow_111:基本ブロック(黄)
SPEColourBlock12_Orange_111:基本ブロック(橙)
SPEColourBlock13_Brown_111:基本ブロック(茶)
SPEColourBlock14_Red_111:基本ブロック(赤)
SPEColourBlock15_Magenta_111:基本ブロック(マゼンタ)
SPEColourBlock16_Pink_111:基本ブロック(桃)
SPEColourBlock17_Camping_Green_111:基本ブロック(カーキ)
SPEColourBlock18_Indigo_111:基本ブロック(インディゴ)
SPEColourBlock19_Light_Pink_111:基本ブロック(桜)
SPEColourBlock20_Flesh_01_111:基本ブロック(肌色)
SPEColourBlock21_Flesh_02_111:基本ブロック(肌色)
SPEColourBlock22_Flesh_03_111:基本ブロック(肌色)
SPEColourBlock23_Flesh_04_111:基本ブロック(肌色)
SPEColourBlock24_Flesh_05_111:基本ブロック(肌色)
SPEFezHat_111:洒落たトルコ帽
SPEHalHatEye_111:ジャックの腐った目玉
SPEHalHatHorn_111:赤いツノ
SPEHalHatPumpkin_111:パンプキンヘッド
SPEHalHatWitch_111:魔女帽
SPEHatGreen_111:緑の醜い帽子
SPEHatRed_111:ジョリーの赤い帽子
SPEIceCreamCone_111:アイスクリームサンデー
SPELemon_111:デカレモン
SPEMiningHelmet_111:1周年採掘ヘルメット
SPEPartyCone_111:パーティー帽
SPEVH_01_111:スティグのバイキングヘルメット
SPEXmasDeelyBaubleBlue_121:バネ付きのデコレーションボール(青)
SPEXmasDeelyBaubleGold_121:バネ付きのデコレーションボール(金)
SPEXmasDeelyBaubleSilver_121:バネ付きのデコレーションボール(銀)
SPEXmasDeelyPresentGreen_121:バネ付きのプレゼント箱(緑)
SPEXmasDeelyPresentRed_121:バネ付きのプレゼント箱(赤)
SPEXmasDeelyPresentSilver_121:バネ付きのプレゼント箱(銀)
SPEXmasDeelyPudding_121:バネ付きのイチジク入りプディング
SPEXmasDeelyRobin_121:バネ付きのコマドリ
SPEXmasDeelyStar_121:バネ付きの星
SPEXmasReindeerAntlers_311:トナカイの角
SPEXmasRudolfRedNose_111:トナカイの赤鼻
SPEXmasTree_353:クリスマスツリー
SPEXmasTurkey_323:七面鳥の丸焼き
VEN_TB_Carbius_121:Venture社 圧縮カーバイトブロック
VEN_TB_Celestian_121:Venture社 圧縮セレスタイトブロック
VEN_TB_Erudian_121:Venture社 圧縮エルダイトブロック
VEN_TB_Fibron_121:Venture社 圧縮フィブロンブロック
VEN_TB_Ignian_121:Venture社 圧縮イグナイトブロック
VEN_TB_Luxian_121:Venture社 圧縮ルクサイトブロック
VEN_TB_Olastic_121:Venture社 圧縮オレイトブロック
VEN_TB_Plumbia_121:Venture社 圧縮メタリウムブロック
VEN_TB_Rodius_121:Venture社 圧縮ローダイトブロック
VEN_TB_Rubber_121:Venture社 圧縮ゴムブロック
VEN_TB_Titania_121:Venture社 圧縮チタニウムブロック
VENAIGuardModule_111:Venture社 ガードAIモジュール
VENAltimeter_111:Venture社 高度計
VENAnchorFixed_111:Venture社 固定アンカー
VENAnchorRotating_111:Venture社 回転アンカー
VENBattery_111:Venture社 電池パック
VENBlock_111:Venture社 基本ブロック
VENBlock_112:Venture社 ブロック(長)
VENBlockSkirting_121:Venture社 幅木ブロック
VENBooster_111:Venture社 パルスブースター
VENBoosterDouble_211:Venture社 二連ブースター
VENBracketRightAngle_111:Venture 直角支柱
VENBracketStraight_111:Venture社 直線支柱
VENBracketStraight_211:Venture社 直線支柱(長)
VENBracketUShape_111:Venture社 U字支柱
VENCockpit_111:Venture社 クルーズ操縦ブロック
VENConveyor_111:Venture社 コンベア
VENDeliCannon_221:Venture社 携行型納品キャノン
VENEnclosedProp_113:Venture社 プロペラ"ゼロ"
VENFabricator_322:Venture社 合成機
VENFlameThrower_121:Venture社 火炎放射機"Reaper X1"
VENFrontWing_311:Venture社 フロントスポイラー
VENFuelPod_111:Venture社 燃料ポッド
VENFuelTank_212:Venture社 大型圧縮燃料タンク
VENGyro_AllAxis_Active_111:Venture社のアクティブな全ての軸付きジャイロ
VENHoverPlate_211:Venture社 反重力プレート
VENHydraulicRamSmall_111:Venture社 支柱ブロック"ハイドラ"
VENLandingGear_111:Venture社 離着陸タイヤ
VENLightFixed_111:Venture社 ラリー用ヘッドライト
VENLightSpot_111:Venture社 サファリライト
VENLightStrip_211:Venture社 I型蛍光灯
VENLightStud_111:Venture社 赤色LED
VENMediumMachineGun_121:Venture社 サブマシンガン"ウージー"
VENMGun_111:Venture社 タネマシンガン
VENMGun_112:Venture社 ヘイルファイヤーライフル
VENMobileSCU_221:Venture社 携行型ストレージデバイス
VENNoseProp_331:Venture社 プロペラ"セラフィム"
VENPropSmall_111:Venture社 プロペラ"ピンホイール"
VENRadar_111:Venture社 レーダー
VENReceiver_111:Venture社 資源レシーバー
VENRefinery_212:Venture社 携行型精製機
VENRegen_111:Venture社 リペアフィールド発生機
VENRemoteCharger_111:Venture社 ワイヤレス充電器
VENRPGLauncher_122:Venture社 ロケットランチャー"アヴァランチ"
VENScrapper_212:Venture社 分解機
VENShield_111:Venture社 バリアフィールド発生器
VENShotgunContact_111:Venture社 コンタクトショットガン
VENSilo_212:Venture社 混同サイロ
VENSpeedometer_111:Venture社 速度計
VENSpinnakerLauncher_111:Venture社 ウィンドワード・スピンネーカー・ランチャー
VENSteeringHover_111:Venture社 5方向姿勢制御スラスター
VENSteeringHoverBi_111:Venture社 2方向姿勢制御スラスター
VENSteeringHoverSingle_111:Venture社 1方向姿勢制御スラスター
VENStreamlineCorner_111:Venture社 フックドビークブロック
VENStreamlineLarge_131:Venture社 大型ダイノブロック
VENStreamlineLargeAlt_131:Venture社 ダックスビルブロック
VENStreamlineMed_121:Venture社 中型ダイノブロック
VENStreamlineSmall_111:Venture社 小型ダイノブロック
VENTerminal_111:Venture社 オンライン通販端末
VENTractor_111:Venture社 コレクター
VENTractorPadLock_212:Venture社 固定コレクター
VENWheel_111:Venture社 ラリータイヤ"ズーマー"
VENWheel_211:Venture社 ラリータイヤ"グローブトロッター"
VENWheel_222:Venture社 初期型スプリングタイヤ
VENWheel_Monster_444:Venture社 モンスタートラックタイヤ
VENWheel_Single_A_223:Venture社 直フォーク型スプリングタイヤ
VENWheel_Single_C_223:Venture社 短フォーク型スプリングタイヤ
VENWheel_Single_D_224:Venture社 長フォーク型スプリングタイヤ
VENWheel_Sports1_Left_112:Venture社 泥除け付タイヤ(左)
VENWheel_Sports1_Right_112:Venture社 泥除け付タイヤ(右)
VENWheel_Titan_666:Venture社 タイタントラックタイヤ
VENWing_322:Venture社 スポイラー"G-Boy"
VENWingAngledLeft_423:Venture社 翼端ラダー付き左翼
VENWingAngledRight_423:Venture社 翼端ラダー付き右翼
VENWingExpanderLeft_413:Venture社 左翼拡張ブロック
VENWingExpanderRight_413:Venture社 右翼拡張ブロック
VENWingMiddle_312:Venture社 中間翼
VENWingSmall_211:Venture社 スポイラー"ダークサイド"
VENWingTail_122:Venture社 尾翼
VENWingTiny_111:Venture社 スポイラー"バブ"
EXP_Hover_424:EXP社 浮遊要塞用ホバープレート
EXPCannonRepulsor_444:EXP社 対空リパルサーキャノン
EXPFlamethrowerPlasma_112:EXP社 プラズマ火炎放射器
GCBuzzSaw_246:GeoCorp社 掘削機
GCHover_222:GeoCorp社 パワーリフターホバー
GCPlasmaCutter_Auto_434:GeoCorp社 吊枠搭載式プラズマカッター
GSOMegatonLong_242:GSO社 ギガトンキャノン
HE_Battery_211:Hawkeye社 イオンバッテリー
HE_CannonBattleship_216:Hawkeye社 戦艦砲 Mk3
HE_LaserZeus_222:Hawkeye社 ゼウスレーザーキャノン
HE_Mortar_232:Hawkeye社 モンスター迫撃砲
HE_TurretRoundabout_111:Hawkeye社 DFA 迫撃砲
HE_WheelLarge_244:Hawkeye社 ビッグダディタイヤ
HE_WheelMid_233:Hawkeye社 ウォーホースタイヤ
VENCannonRapid_313:Venture社 二連装速射砲
VENDropper_111:Venture社 ドロッパー
VENFilter_111:Venture社 フィルター
VENLaserMachineGun_112:Venture社 ニードルレーザー
VENLaserTurret_111:Venture社 レーザーランス砲
VENMachineGunForward_311:Venture社 クロスファイヤーライフル
VENTracks_112:Venture社 リップソー履帯
VENTracks_124:Venture社 ハリケーン履帯
VENTurretRoundabout_111:Venture社 二連装迫撃砲
HE_ArmourPlate_111:Hawkeye社 装甲板(小)
HE_ArmourPlate_211:Hawkeye社 装甲板(中)
HE_ArmourPlate_221:Hawkeye社 装甲板(大)
HE_ArmourPlate_Extended_221:Hawkeye社 切欠き付装甲板
HE_ShotgunRotating_212:Hawkeye社 軸付ショットガン
VENShotgunRotating_112:Venture社 360度ショットガン
GSOBigBertha_845:GSO社 大型ベルタ砲
VENMicroMissile_112:Venture社 クラスターミサイル発射装置
GCBooster_422:GeoCorp社 イーグルヘビーブースター
GCFlail_446:GeoCorp社 TBスレッシャー
GC_BigPete_Consumer_222:大きなピートの口
GSOMGunFixed_111_EC:GSO社 ZK-50X 軽量マシンガン
GSOCannonTurret_111_EC:GSO社 3.5-ポンドキャノンSP
