$BlockNames
EXP_JointSet_1_Axle_111:创新研发科技 小型轮轴
SPEFezHat_111:土耳其毯帽
SPEHalHatEye_111:杰克腐蚀之眼
SPEHalHatHorn_111:恶魔角
SPEHalHatPumpkin_111:南瓜头
SPEHalHatWitch_111:女巫之帽
SPEHatGreen_111:绿色精灵帽
SPEHatRed_111:红色圣诞帽
SPEIceCreamCone_111:火花哥的冰淇淋
SPELemon_111:大号柠檬
SPEMiningHelmet_111:1年级采矿头盔
SPEPartyCone_111:派对圆锥帽
SPEVH_01_111:试替哥的维京海盗帽
SPEXmasDeelyBaubleBlue_121:传统蓝色挂饰
SPEXmasDeelyBaubleGold_121:传统金色挂饰
SPEXmasDeelyBaubleSilver_121:传统银色挂饰
SPEXmasDeelyPresentGreen_121:传统绿色礼物挂饰
SPEXmasDeelyPresentRed_121:传统红色礼物挂饰
SPEXmasDeelyPresentSilver_121:传统银色礼物
SPEXmasDeelyPudding_121:传统的无花果布丁
SPEXmasDeelyRobin_121:知更鸟爵士迪利
SPEXmasDeelyStar_121:星星挂饰
SPEXmasReindeerAntlers_311:驯鹿的鹿角
SPEXmasRudolfRedNose_111:鲁道夫红鼻子
SPEXmasTree_353:圣诞树
SPEXmasTurkey_323:烤火鸡
VEN_TB_Carbius_121:风速疾行公司 煤碳压缩块
VEN_TB_Celestian_121:风速疾行公司 镁晶压缩块
VEN_TB_Erudian_121:风速疾行公司 博晶压缩块
VEN_TB_Fibron_121:风速疾行公司 木纖維压缩块
VEN_TB_Ignian_121:风速疾行公司 铌晶压缩块
VEN_TB_Luxian_121:风速疾行公司 氖晶压缩块
VEN_TB_Olastic_121:风速疾行公司 塑膏压缩块
VEN_TB_Plumbia_121:风速疾行公司 铁锭压缩块
VEN_TB_Rodius_121:风速疾行公司 镉酸压缩块
VEN_TB_Rubber_121:风速疾行公司 橡胶压缩块
VEN_TB_Titania_121:风速疾行公司 钛矿压缩块
VENAIGuardModule_111:风速疾行公司 AI防御者模块
VENAltimeter_111:风速疾行公司 高度计
VENAnchorFixed_111:风速疾行公司固定锚
VENAnchorRotating_111:风速疾行公司旋转锚
VENBattery_111:风速疾行公司 轻型电池
VENBlock_111:风速疾行公司 基础方块
VENBlock_112:风速疾行公司 长方块
VENBlockSkirting_121:风速疾行公司 垫脚块
VENBooster_111:风速疾行公司 小型脉冲助推器
VENBoosterDouble_211:风速疾行公司 双重助推器
VENBracketRightAngle_111:风速疾行公司 直角悬臂
VENBracketStraight_111:风速疾行公司 直悬臂
VENBracketStraight_211:风速疾行公司 长直悬臂
VENBracketUShape_111:风速疾行公司 U型悬臂
VENCockpit_111:风速疾行公司 POD驾驶室
VENConveyor_111:风速疾行公司 传送器
VENDeliCannon_221:风速疾行公司 流动投送炮
VENEnclosedProp_113:风速疾行公司 "零至"推进器
VENFabricator_322:风速疾行公司 合成台
VENFlameThrower_121:风速疾行公司 火焰喷射器
VENFrontWing_311:风速疾行公司 前扰流板
VENFuelPod_111:风速疾行公司 燃料舱
VENFuelTank_212:风速疾行公司 大型压缩燃料箱
VENGyro_AllAxis_Active_111:风速疾行公司 活动全轴陀螺仪
VENHoverPlate_211:风速疾行公司 零重力悬浮板
VENHydraulicRamSmall_111:风速疾行公司 海德拉随机存取存贮器
VENLandingGear_111:风速疾行公司 轻型起落轮
VENLightFixed_111:风速疾行公司 拉力照明灯
VENLightSpot_111:风速疾行公司 游猎聚光灯
VENLightStrip_211:风速疾行公司 长牌警示灯
VENLightStud_111:风速疾行公司 “燃烧”LED灯
VENMediumMachineGun_121:风速疾行公司 “奥兹”冲锋枪
VENMGun_111:风速疾行公司 “皮普”机关枪
VENMGun_112:风速疾行公司 “火舌”步枪
VENMobileSCU_221:风速疾行公司 流动SCU
VENNoseProp_331:风速疾行公司 “炽天使”螺旋桨
VENPropSmall_111:风速疾行公司 "风车"螺旋桨
VENRadar_111:风速疾行公司 轻型雷达
VENReceiver_111:风速疾行公司 资源接收器
VENRefinery_212:风速疾行公司 移动精炼器
VENRegen_111:风速疾行公司 修复罩发生器
VENRemoteCharger_111:风速疾行公司 远程充电器
VENRPGLauncher_122:风速疾行公司 火风暴轻型导弹发射器
VENScrapper_212:风速疾行公司 废品处理机
VENShield_111:风速疾行公司 防御罩发生器
VENShotgunContact_111:风速疾行公司接触式霰弹猎枪
VENSilo_212:风速疾行公司 混合仓筒
VENSpeedometer_111:风速疾行公司 速度计
VENSpinnakerLauncher_111:风速疾行公司 迎风三角帆发射器
VENSteeringHover_111:风速疾行公司 5方向助推器
VENSteeringHoverBi_111:风速疾行公司 双向助推器
VENSteeringHoverSingle_111:风速疾行公司 单向助推器
VENStreamlineCorner_111:风速疾行公司 钩喙形块
VENStreamlineLarge_131:风速疾行公司 大型龙形块
VENStreamlineLargeAlt_131:风速疾行公司 鸭嘴形块
VENStreamlineMed_121:风速疾行公司 中型龙形块
VENStreamlineSmall_111:风速疾行公司 小型龙形块
VENTerminal_111:风速疾行公司 商店终端
VENTractor_111:风速疾行公司 牵引板
VENTractorPadLock_212:风速疾行公司 锁定的牵引板
VENWheel_111:风速疾行公司 伸缩轮
VENWheel_211:风速疾行公司 全球跑馬轮
VENWheel_222:风速疾行公司 原装弹簧式轮
VENWheel_Monster_444:风速疾行公司 怪物卡车轮
VENWheel_Single_A_223:风速疾行公司 中型分叉弹簧轮
VENWheel_Single_C_223:风速疾行公司 短分叉弹簧轮
VENWheel_Single_D_224:风速疾行公司 长分叉弹簧轮
VENWheel_Sports1_Left_112:风速疾行公司 左侧沙丘轮
VENWheel_Sports1_Right_112:风速疾行公司 右侧沙丘轮
VENWheel_Titan_666:风速疾行公司 泰坦卡车轮
VENWing_322:风速疾行公司 “好男孩”扰流板
VENWingAngledLeft_423:风速疾行公司 左倾尖舵尾翼
VENWingAngledRight_423:风速疾行公司 右倾尖舵尾翼
VENWingExpanderLeft_413:风速疾行公司 左侧大型机翼
VENWingExpanderRight_413:风速疾行公司 右侧大型机翼
VENWingMiddle_312:风速疾行公司 中型机翼
VENWingSmall_211:风速疾行公司 “黑暗面”扰流板
VENWingTail_122:风速疾行公司 小型尾翼
VENWingTiny_111:风速疾行公司 “使魔”扰流板
EXP_Hover_424:创新研发科技 飞行堡垒悬停板
EXPCannonRepulsor_444:创新研发科技 AA反重力炮
EXPFlamethrowerPlasma_112:创新研发科技 等离子火焰喷射器
GCBuzzSaw_246:深空联合矿业 开凿者
GCHover_222:深空联合矿业 举重级反重力板
GCPlasmaCutter_Auto_434:深空联合矿业 万向等离子切割机
GSOMegatonLong_242:银河系联合国 京级巨炮
HE_Battery_211:鹰眼军工集团 离子电池
HE_CannonBattleship_216:鹰眼军工集团 MK3型战列舰大炮
HE_LaserZeus_222:鹰眼军工集团 宙斯激光炮
HE_Mortar_232:鹰眼军工集团 怪兽臼炮
HE_TurretRoundabout_111:鹰眼军工集团 DFA导弹发射器
HE_WheelLarge_244:鹰眼军工集团 大霸王轮
HE_WheelMid_233:鹰眼军工集团 战马轮
VENCannonRapid_313:风速疾行公司 快速加农炮
VENDropper_111:风速疾行公司 传送带脱离器
VENFilter_111:风速疾行公司 过滤器
VENLaserMachineGun_112:风速疾行公司 针式激光
VENLaserTurret_111:风速疾行公司 柳叶刀激光炮塔
VENMachineGunForward_311:风速疾行公司 火线步枪
VENTracks_112:风速疾行公司 粗齿履带
VENTracks_124:风速疾行公司 飓风履带
VENTurretRoundabout_111:风速疾行公司 迂回迫击炮
HE_ArmourPlate_111:鹰眼军工集团 小型装甲板
HE_ArmourPlate_211:鹰眼军工集团 中型装甲板
HE_ArmourPlate_221:鹰眼军工集团 大型装甲板
HE_ArmourPlate_Extended_221:鹰眼军工集团 缺口装甲板
HE_ShotgunRotating_212:鹰眼军工集团 轴基猎枪
VENShotgunRotating_112:风速疾行公司 360度霰弹枪
GSOBigBertha_845:银河系联合国 贝尔莎加农炮
VENMicroMissile_112:风速疾行公司 导弹发射器
GCBooster_422:深空联合矿业 鹰式重型推进器
GCFlail_446:深空联合矿业 TB 打谷机
GC_BigPete_Consumer_222:大皮特的嘴
GSOMGunFixed_111_EC:银河系联合国 ZK-50X轻型机关枪
GSOCannonTurret_111_EC:银河系联合国 3.5磅加农炮特制版
GCPlasmaCutter_Angled_222_EC:深空联合 矿业角度光子炬
GCArticulatedDrill_423_EC:深空联合 矿业铰链冲击钻
VENFlameThrower_PS4_122:风行急速公司 X2地狱喷火器
VENMgun_PS4_112:风行急速公司 暴风来福
HE_Shotgun_XboxOne_112:鹰眼军工集 团犀牛霰弹枪
HE_LaserZeus_XboxOne_222:鹰眼军工集 团索尔镭射加农炮
HE_ArmourPlate_XboxOne_211:鹰眼军工集团 中型装甲板
