$BlockNames
EXP_JointSet_1_Axle_111:新研科技 小型輪軸
GCBumper_411:重礦工業 四單位超長保險槓
GCBumper_611:重礦工業 六單位保險槓
GCBumper_Bar_111:重礦工業 護墊保險槓
GCBumper_Corner_111:重礦工業 角槓
GCBumper_Cross_111:重礦工業 十字連接保險槓
GCBumper_Straight_111:重礦工業 小保險槓
GCBumper_Straight_112:重礦工業 長保險槓
GCBumper_Tee_111:重礦工業 T型保險槓
GCBumper_Tri_111:重礦工業 三點保險槓
GCBuzzSaw_312:重礦工業 電鋸
GCCockpit_221:重礦工業 工頭GPR駕駛室
GCCockpit_222:重礦工業 老闆駕駛室
GCCockpit_224:重礦工業 大王駕駛室
GCConveyor_212:重礦工業 傳送帶
GCDeliveryCannon_424:重礦工業 投送砲
GCDeliveryCannon_464:重礦工業 錨定投送炮
GCDiggerScoop_233:重礦工業 單鏟斗
GCDiggerScoop_433:重礦工業 雙鏟斗
GCFabricator_432:重礦工業 合成台
GCFilter_212:重礦工業 過濾器
GCGeneratorStatic_222:重礦工業 錨定發電機
GCGeneratorThermal_332:重礦工業 地熱發電機
GCJackHammer_244:重礦工業 角度衝擊鑽
GCJackHammer_Straight_226:重礦工業 直式撞擊鑽
GCLightFixed_111:重礦工業 小型泛光燈
GCLightSpot_222:重礦工業 聚光燈
GCLightStrip_211:重礦工業 連體泛光燈
GCLightStud_111:重礦工業 應急燈
GCMagnetCrane_255:重礦工業 APD 起重磁鐵
GCPlasmaCutter_222:重礦工業 激光切割機
GCPlasmaCutter_Angled_222:重礦工業 傾式激光切割機
GCRamSpike_223:重礦工業 金剛石鑽頭
GCReceiver_212:重礦工業 資源接收盤
GCRefinery_223:重礦工業 精鍊器
GCRegen_222:重礦工業 修復罩發生器
GCRemoteCharger_212:重礦工業 遠程充電器
GCScrapMagnet_424:重礦工業 方塊磁鐵
GCScrapper_432:重礦工業 分解器
GCSCU_454:重礦工業 錨定重SCU
GCSilo_424:重礦工業 超級混合倉筒
GCTerminal_212:重礦工業 商店終端
GCTrack_A_422:重礦工業 卡特彼勒右履帶
GCTrack_A_Mirrored_422:重礦工業 卡特彼勒左履帶
GCTrack_B_422:重礦工業 卡特彼勒中型履帶
GCTractor_212:重礦工業 “拾荒者”收集器
GCTractorPad_414:重礦工業 “史考提”高容量收集器
GCTripleBore_234:重礦工業 “地獄三頭犬”鑽頭
GCWheel_222:重礦工業 加深工程輪胎
GCWheel_232:重礦工業 “工作日”小型工程輪胎
GCWheel_Stupid_588:重礦工業 巨獸輪
GCWheelMega_344:重礦工業 超巨工程輪胎
GCWheelMetal_222:重礦工業 碾壓工程輪胎
GCWheelMetal_332:重礦工業 有齒工程輪胎
GSO_Exploder_A_111:銀河政部 雙向爆彈式連接器
GSO_Exploder_B_111:銀河政部 六向爆彈式連接器
GSO_TB_Carbius_221:銀河政部 煤碳壓縮塊
GSO_TB_Celestian_221:銀河政部 鎂晶壓縮塊
GSO_TB_Erudian_221:銀河政部 博晶壓縮塊
GSO_TB_Fibron_221:銀河政部 木纖維壓縮塊
GSO_TB_Ignian_221:銀河政部 鈮晶壓縮塊
GSO_TB_Luxian_221:銀河政部 氖晶壓縮塊
GSO_TB_Olastic_221:銀河政部 塑膏壓縮塊
GSO_TB_Plumbia_221:銀河政部 鐵錠壓縮塊
GSO_TB_Rodius_221:銀河政部 镉酸壓縮塊
GSO_TB_Rubber_221:銀河政部 橡膠壓縮塊
GSO_TB_Titania_221:銀河政部 鈦礦壓縮塊
GSOAIController_111:銀河政部 "穆爾蒂克"探索式AI模塊
GSOAIGuardController_111:銀河政部 "咕噥"AI模塊
GSOAlternator_111:銀河政部 輸送器傳送帶
GSOAltimeter_111:銀河政部 高度計
GSOAnchorAI_121:銀河政部 AI錨定模塊
GSOAnchorFixed_111:銀河政部 固定桩
GSOAnchorRotating_111:銀河政部 旋轉樁
GSOArmourPlateCab_111:銀河政部 駕駛室裝甲片
GSOArmourPlateLarge_222:銀河政部 大型装甲片
GSOArmourPlateMedium_211:銀河政部 中型装甲片
GSOArmourPlateSmall_111:銀河政部 小型装甲片
GSOAutoMiner_324:銀河政部 自動採礦機
GSOBaseFixed_212:銀河政部 固定樁
GSOBattery_111:銀河政部 小型電池
GSOBlock_111:銀河政部 單方塊
GSOBlock_112:銀河政部 雙方塊
GSOBlock_311:銀河政部 三方塊
GSOBlock_411:銀河政部 四方塊
GSOBlock_511:銀河政部 五方塊
GSOBlockHalf_111:銀河政部 單半方塊
GSOBlockHalfCorner_111:銀河政部 角半方塊
GSOBlockHalfCornerInside_111:銀河政部 內角半方塊
GSOBlockLongHalf_211:銀河政部 雙半方塊
GSOBlockSkirting_121:銀河政部 墊腳塊
GSOBooster_112:銀河政部 "四氧"噴射推進器
GSOCannonTurret_111:銀河政部 3磅加農炮
GSOCockpit_111:銀河政部 "宇航員"駕駛室
GSOComponentFactory_323:銀河政部 組件工廠
GSOComponentFactory_Dongle_1_111:銀河政部 組件工廠初級提升組件
GSOComponentFactory_Dongle_2_111:銀河政部 組件工廠中級提升組件
GSOComponentFactory_Dongle_3_111:銀河政部 組件工廠高級提升組件
GSOConveyor_111:銀河政部 傳送帶
GSOConveyor_CCTurn_221:銀河政部 向上垂直轉角輸送器
GSOConveyor_CVTurn_111:銀河政部 向下垂直轉角輸送器
GSOConveyorStep_121:銀河政部 階梯傳送器
GSODeliCannon_221:銀河政部 流動投送砲
GSODeliCannon_222:銀河政部 錨定投送砲
GSODispenserMini_111:銀河政部 方塊發射器
GSODropperConveyor_111:銀河政部 傳送帶脫離器
GSOFabricator_322:銀河政部 合成台
GSOFan_221:銀河政部 渦輪螺旋槳
GSOFilter_111:銀河政部 過濾傳送器
GSOFixedDrill_111:銀河政部 迷你鑽
GSOFixedDrill_112:銀河政部 岩鑿鑽
GSOFuelTank_121:銀河政部 "噼里"小型燃料箱
GSOFuelTank_222:銀河政部 "啪啦"大型燃料箱
GSOGaugeFuel_111:銀河政部 燃料計
GSOGaugePower_111:銀河政部 電力表
GSOGenerator_211:銀河政部 流動發電機
GSOGenerator_212:銀河政部 小型發電機
GSOGeneratorSolar_141:銀河政部 光能發電機
GSOGeneratorStatic_212:銀河政部 錨定發電機
GSOHeart_343:銀河政部 錨定SCU
GSOHover_212:銀河政部 大型懸浮板
GSOHoverJet_111:銀河政部 反重力懸浮板
GSOLaserFixed_111:銀河政部 窄徑COIL激光器
GSOLaserForward_111:銀河政部 寬徑STUD激光器
GSOLightFixed_111:銀河政部 閃光照明燈
GSOLightSpot_111:銀河政部 緊急探照燈
GSOLightStrip_211:銀河政部 “嗡嗡”帶狀燈
GSOLightStud_111:銀河政部 防風燈
GSOMediumCannon_222:銀河政部 巨炮
GSOMegaBooster_112:銀河政部 大型噴射推進器
GSOMGunFixed_111:銀河政部 ZK-47輕機槍
GSOMiniMissile_222:銀河政部 導彈砲台
GSOMortarFixed_211:銀河政部 8炮筒迷你迫擊炮
GSOPacemaker_111:銀河政部 生產線調速器
GSOPlough_211:銀河政部 犁
GSOPlough_311:銀河政部 推土犁
GSOPloughCowCatcher_321:銀河政部 排障犁
GSOPowerSource_222:銀河政部 電源
GSORadar_111:銀河政部 "克萊文"雷達
GSOReceiver_111:銀河政部 接收器
GSOReceiver_312:銀河政部 接收器
GSORefinery_222:銀河政部 精鍊器
GSORegen_111:銀河政部 修復罩發生器
GSORemoteCharger_111:銀河政部 無線充電器
GSOScrapMagnet_222:銀河政部 廢料磁鐵
GSOScrapMagnetMini_111:銀河政部 迷你廢料磁鐵
GSOScrapper_322:銀河政部 廢品處理機
GSOShield_111:銀河政部 防禦罩發生器
GSOShop_121:銀河政部 商店終端
GSOShotgunCombat_111:銀河政部 戰鬥霰彈槍
GSOSilo_111:銀河政部 小型筒倉
GSOSilo_212:銀河政部 中型筒倉
GSOSilo_313:銀河政部 大型筒倉
GSOSteeringThruster_111:銀河政部 轉向助推器
GSOTrack_112:銀河政部 "得克"履帶
GSOTractorMini_111:銀河政部 “套管”牽引板
GSOTractorPad_212:銀河政部 “平床”牽引板
GSOVendor_Block:銀河政部 交易站
GSOVendor_Conveyor:銀河政部 交易站
GSOVendor_DeliCannon:銀河政部 交易站
GSOVendor_MissionBoard:銀河政部 交易站
GSOVendor_Receiver:銀河政部 交易站
GSOVendor_Terminal:銀河政部 交易站
GSOWheel_111:銀河政部 土路輪
GSOWheel_222:銀河政部 特大輪
GSOWheel_233:銀河政部 交易站
GSOWheelGroundClearing_211:銀河政部 提升輪
GSOWheelHub_111:銀河政部 集合輪
GSOWheelSmall_111:銀河政部 小型徒步者輪
GSOWheelStabiliser_111:銀河政部 穩定輪
GSOWheelTall_121:銀河政部 高腳輪
GSOWingLeft_312:銀河政部 疾風機翼·左
GSOWingMini_311:銀河政部 小型擾流翼
GSOWingRight_312:銀河政部 疾風機翼·右
GSOWingTail_122:銀河政部 尾翼方向舵
HE_AIModule_Guard_112:鷹眼軍事 反式AI模塊
HE_AITurret_112:鷹眼軍事 “哨兵”AI模塊
HE_AnchorFixed_212:鷹眼軍事 固定錨
HE_AnchorRotating_212:鷹眼軍事 旋轉錨
HE_ArmouredBlock_10_111:鷹眼軍事 小型堡壘裝甲
HE_ArmouredBlock_11_121:鷹眼軍事 中型堡壘裝甲
HE_ArmouredBlock_12_131:鷹眼軍事 大型堡壘裝甲
HE_ArmouredWheel_13_111:鷹眼軍事 守衛輪
HE_BlockSkirting_121:鷹眼軍事 墊腳塊
HE_Bracket_01_22_111:鷹眼軍事 大型支架
HE_Bracket_02_23_111:鷹眼軍事 小型支架
HE_Bracket_03_24_111:鷹眼軍事 中型支架
HE_Bracket_4AP_111:鷹眼軍事 邊角支架
HE_Bracket_Alt_01_111:鷹眼軍事 十字支架
HE_Cab_07_111:鷹眼軍事 “獵人”駕駛室
HE_CannonTurret_327:鷹眼軍事 HG1型加農炮（Alt）
HE_CannonTurret_Short_525:鷹眼軍事 HG1型加農炮
HE_Chain_Gun_29_111:鷹眼軍事 連發機槍
HE_Collector_111:鷹眼軍事 牽引盤
HE_Cruise_Missile_51_121:鷹眼軍事 巡航導彈
HE_DeliveryCannon_353:鷹眼軍事 錨定投送炮
HE_Fabricator_332:鷹眼軍事 製造台
HE_Fan_16_111:鷹眼軍事 轉子渦輪
HE_Fuel_131:鷹眼軍事 燃料罐
HE_Jet_25_111:鷹眼軍事 火箭級噴射器
HE_JetEngine_112:鷹眼軍事 小型噴氣發動機
HE_LandingGear_32_111:鷹眼軍事 起落架
HE_Laser_Targeting_111:鷹眼軍事 激光瞄準器
HE_Light_Stud_111:鷹眼軍事 信號燈
HE_MachineGun_33_111:鷹眼軍事 高速機槍
HE_Mini_Gun_20_111:鷹眼軍事 火神自動機砲
HE_Missile_Pod_28_111:鷹眼軍事 快速導彈發射倉
HE_Pylon_17_111:鷹眼軍事 武器掛架
HE_RailGun_113:鷹眼軍事 電磁軌道炮
HE_Refinery_232:鷹眼軍事 精鍊器
HE_Regen_112:鷹眼軍事 修復罩發生器
HE_Rotor_Large_19_111:鷹眼軍事 大型螺旋槳
HE_Rotor_Small_18_111:鷹眼軍事 中型螺旋槳
HE_ScrapMagnet_212:鷹眼軍事 方塊磁鐵
HE_Scrapper_323:鷹眼軍事 分解器
HE_SCU_343:鷹眼軍工集團 "迷宮"錨定奇點收納裝置
HE_SensorPod_30_111:鷹眼軍事 指向雷達
HE_Shield_111:鷹眼軍事 毀滅級防禦罩發生器
HE_Shotgun_112:鷹眼軍事 "刺針"霰彈槍
HE_StdBlock_01_111:鷹眼軍事 單方塊
HE_StdBlock_08_121:鷹眼軍事 雙方塊
HE_StdBlock_Alt_1_02_111:鷹眼軍事 單方塊（Alt1）
HE_StdBlock_Alt_1_09_121:鷹眼軍事 雙方塊（Alt2）
HE_StdBlock_Alt_2_03_111:鷹眼軍事 轉角支架
HE_StdBlock_Alt_2_09_121:鷹眼軍事 長支架
HE_StdBlock_Alt_3_04_111:鷹眼軍事 單方塊（Alt3）
HE_StdBlock_Alt_4_05_111:鷹眼軍事 平面支架
HE_StdBlock_Alt_4_06_111:鷹眼軍事 單方塊（Alt5）
HE_Suppressed_MGun_111:鷹眼軍事 爆裂槍
HE_Tail_Wing_27_111:鷹眼軍事 之羽
HE_TB_Carbius_222:鷹眼軍事 煤碳壓縮塊
HE_TB_Celestian_222:鷹眼軍事 鎂晶壓縮塊
HE_TB_Erudian_222:鷹眼軍事 博晶壓縮塊
HE_TB_Fibron_222:鷹眼軍事 木纖維壓縮塊
HE_TB_Ignian_222:鷹眼軍事 鈮晶壓縮塊
HE_TB_Luxian_222:鷹眼軍事 氖晶壓縮塊
HE_TB_Olastic_222:鷹眼軍事 塑膏壓縮塊
HE_TB_Plumbia_222:鷹眼軍事 鐵錠壓縮塊
HE_TB_Rodius_222:鷹眼軍事 镉酸壓縮塊
HE_TB_Rubber_222:鷹眼軍事 橡膠壓縮塊
HE_TB_Titania_222:鷹眼軍事 鈦礦壓縮塊
HE_Terminal_111:鷹眼軍事 商店終端
HE_Tracks_21_111:鷹眼軍事 坦克履帶
HE_Wheel_14_111:鷹眼軍事 踏板車輪
HE_Wheel_Single_02_122:鷹眼軍事 傾式自行車輪
HE_Wheel_Single_121:鷹眼軍事 直式自行車輪
HE_Wing_26_111:鷹眼軍事 "展" 機翼
HE_Wing_Wheel_31_111:鷹眼軍事 翼輪
HE_WingTip_121:鷹眼軍事 翼梢
SPE_Moustache_111:大鬍子
SPE_Sombrero_323:怒退君的草帽
SPEBeardGreen_111:綠鬍子
SPEBeardWhite_111:白鬍子
SPEBirthdayHat_111:生日蛋糕帽
SPEBowlerHat_111:商人圓頂硬禮帽
SPEBunnyEars_111:彈跳兔耳朵
SPEColourBlock01_Black_111:黑色方塊
SPEColourBlock02_Grey_111:灰色方塊
SPEColourBlock03_White_111:白色方塊
SPEColourBlock04_Purple_111:紫色方塊
SPEColourBlock05_DarkBlue_111:深藍色方塊
SPEColourBlock06_Blue_111:藍色方塊
SPEColourBlock07_LightBlue_111:淺藍色方塊
SPEColourBlock08_LightGreen_111:淺綠色方塊
SPEColourBlock09_Green111:綠色方塊
SPEColourBlock10_YellowGreen_111:青色方塊
SPEColourBlock11_Yellow_111:黃色方塊
SPEColourBlock12_Orange_111:橙色方塊
SPEColourBlock13_Brown_111:棕色方塊
SPEColourBlock14_Red_111:紅色方塊
SPEColourBlock15_Magenta_111:桃紅色方塊
SPEColourBlock16_Pink_111:粉色方塊
SPEColourBlock17_Camping_Green_111:軍綠色方塊
SPEColourBlock18_Indigo_111:靛藍色方塊
SPEColourBlock19_Light_Pink_111:亮粉色方塊
SPEColourBlock20_Flesh_01_111:皮膚色方塊
SPEColourBlock21_Flesh_02_111:皮膚色方塊
SPEColourBlock22_Flesh_03_111:皮膚色方塊
SPEColourBlock23_Flesh_04_111:皮膚色方塊
SPEColourBlock24_Flesh_05_111:皮膚色方塊
SPEFezHat_111:土耳其毯帽
SPEHalHatEye_111:傑克腐蝕之眼
SPEHalHatHorn_111:惡魔角
SPEHalHatPumpkin_111:南瓜頭
SPEHalHatWitch_111:女巫之帽
SPEHatGreen_111:綠色精靈帽
SPEHatRed_111:紅色聖誕帽
SPEIceCreamCone_111:火花哥的冰淇淋
SPELemon_111:大號檸檬
SPEMiningHelmet_111:1年級採礦頭盔
SPEPartyCone_111:派對圓錐帽
SPEVH_01_111:試替哥的維京海盜帽
SPEXmasDeelyBaubleBlue_121:傳統藍色掛飾
SPEXmasDeelyBaubleGold_121:傳統金色掛飾
SPEXmasDeelyBaubleSilver_121:傳統銀色掛飾
SPEXmasDeelyPresentGreen_121:傳統綠色禮物掛飾
SPEXmasDeelyPresentRed_121:傳統紅色禮物掛飾
SPEXmasDeelyPresentSilver_121:傳統銀色禮物
SPEXmasDeelyPudding_121:傳統的無花果布丁
SPEXmasDeelyRobin_121:知更鳥爵士迪利
SPEXmasDeelyStar_121:星星掛飾
SPEXmasReindeerAntlers_311:馴鹿的鹿角
SPEXmasRudolfRedNose_111:魯道夫紅鼻子
SPEXmasTree_353:聖誕樹
SPEXmasTurkey_323:烤火雞
VEN_TB_Carbius_121:速限公司 煤碳壓縮塊
VEN_TB_Celestian_121:速限公司 鎂晶壓縮塊
VEN_TB_Erudian_121:速限公司 博晶壓縮塊
VEN_TB_Fibron_121:速限公司 木纖維壓縮塊
VEN_TB_Ignian_121:速限公司 鈮晶壓縮塊
VEN_TB_Luxian_121:速限公司 氖晶壓縮塊
VEN_TB_Olastic_121:速限公司 塑膏壓縮塊
VEN_TB_Plumbia_121:速限公司 鐵錠壓縮塊
VEN_TB_Rodius_121:速限公司 镉酸壓縮塊
VEN_TB_Rubber_121:速限公司 橡膠壓縮塊
VEN_TB_Titania_121:速限公司 鈦礦壓縮塊
VENAIGuardModule_111:速限公司 AI防御者模塊
VENAltimeter_111:速限公司 高度計
VENAnchorFixed_111:速限公司 固定錨
VENAnchorRotating_111:速限公司 旋轉錨
VENBattery_111:速限公司 輕型電池
VENBlock_111:速限公司 基礎方塊
VENBlock_112:速限公司 長方塊
VENBlockSkirting_121:速限公司 墊腳塊
VENBooster_111:速限公司 小型脈衝助推器
VENBoosterDouble_211:速限公司 雙重推進器
VENBracketRightAngle_111:速限公司 直角懸臂
VENBracketStraight_111:速限公司 直懸臂
VENBracketStraight_211:速限公司 長直懸臂
VENBracketUShape_111:速限公司 U型懸臂
VENCockpit_111:速限公司 POD駕駛室
VENConveyor_111:速限公司 傳送器
VENDeliCannon_221:速限公司 流動投送炮
VENEnclosedProp_113:速限公司 "零至"推進器
VENFabricator_322:速限公司 合成台
VENFlameThrower_121:速限公司 火焰噴射器
VENFrontWing_311:速限公司 前擾流板
VENFuelPod_111:速限公司 燃料艙
VENFuelTank_212:速限公司 大型壓縮燃料箱
VENGyro_AllAxis_Active_111:速限公司 活動全軸陀螺儀
VENHoverPlate_211:速限公司 零重力懸浮板
VENHydraulicRamSmall_111:速限公司 海德拉隨機存取存貯器
VENLandingGear_111:速限公司 輕型起落輪
VENLightFixed_111:速限公司 拉力照明燈
VENLightSpot_111:速限公司 遊獵聚光燈
VENLightStrip_211:速限公司 長牌警示燈
VENLightStud_111:速限公司 “燃燒”LED燈
VENMediumMachineGun_121:速限公司 “奧茲”衝鋒槍
VENMGun_111:速限公司 “皮普”機關槍
VENMGun_112:速限公司 “火舌”步槍
VENMobileSCU_221:速限公司 流動SCU
VENNoseProp_331:速限公司 “熾天使”螺旋槳
VENPropSmall_111:速限公司 "風車"螺旋槳
VENRadar_111:速限公司 輕型雷達
VENReceiver_111:速限公司 資源接收器
VENRefinery_212:速限公司 移動精煉器
VENRegen_111:速限公司 修復罩發生器
VENRemoteCharger_111:速限公司 遠程充電器
VENRPGLauncher_122:速限公司 火風暴輕型導彈發射器
VENScrapper_212:速限公司 廢品處理機
VENShield_111:速限公司 防禦罩發生器
VENShotgunContact_111:速限公司 接觸式霰彈獵槍
VENSilo_212:速限公司 混合倉筒
VENSpeedometer_111:速限公司 速度計
VENSpinnakerLauncher_111:速限公司 迎風三角帆發射器
VENSteeringHover_111:速限公司 5方向助推器
VENSteeringHoverBi_111:速限公司 雙向助推器
VENSteeringHoverSingle_111:速限公司 單向助推器
VENStreamlineCorner_111:速限公司 鉤喙形塊
VENStreamlineLarge_131:速限公司 大型龍形塊
VENStreamlineLargeAlt_131:速限公司 鴨嘴形塊
VENStreamlineMed_121:速限公司 中型龍形塊
VENStreamlineSmall_111:速限公司 小型龍形塊
VENTerminal_111:速限公司 商店終端
VENTractor_111:速限公司 牽引板
VENTractorPadLock_212:速限公司 鎖定的牽引板
VENWheel_111:速限公司 伸縮輪
VENWheel_211:速限公司 全球跑馬輪
VENWheel_222:速限公司 原裝彈簧式輪
VENWheel_Monster_444:速限公司 怪物卡車輪
VENWheel_Single_A_223:速限公司 中型分叉彈簧輪
VENWheel_Single_C_223:速限公司 短分叉彈簧輪
VENWheel_Single_D_224:速限公司 長分叉彈簧輪
VENWheel_Sports1_Left_112:速限公司 左側沙丘輪
VENWheel_Sports1_Right_112:速限公司 右側沙丘輪
VENWheel_Titan_666:速限公司 泰坦卡車輪
VENWing_322:速限公司 “好男孩”擾流板
VENWingAngledLeft_423:速限公司 左傾尖舵尾翼
VENWingAngledRight_423:速限公司 右傾尖舵尾翼
VENWingExpanderLeft_413:速限公司 左側大型機翼
VENWingExpanderRight_413:速限公司 右側大型機翼
VENWingMiddle_312:速限公司 中型機翼
VENWingSmall_211:速限公司 “黑暗面”擾流板
VENWingTail_122:速限公司 小型尾翼
VENWingTiny_111:速限公司 "使魔"擾流板
EXP_Hover_424:新研科技 飛行堡壘懸停板
EXPCannonRepulsor_444:新研科技 AA反重力砲
EXPFlamethrowerPlasma_112:新研科技 等離子火焰噴射器
GCBuzzSaw_246:重礦工業 開鑿者
GCHover_222:重礦工業 舉重級反重力板
GCPlasmaCutter_Auto_434:重礦工業 萬向等離子切割機
GSOMegatonLong_242:銀河政部 京級巨砲
HE_Battery_211:鷹眼軍事 離子電池
HE_CannonBattleship_216:鷹眼軍事 MK3型戰列艦大砲
HE_LaserZeus_222:鷹眼軍事 宙斯激光炮
HE_Mortar_232:鷹眼軍事 怪獸臼炮
HE_TurretRoundabout_111:鷹眼軍事 DFA導彈發射器
HE_WheelLarge_244:鷹眼軍事 大霸王輪
HE_WheelMid_233:鷹眼軍事 戰馬輪
VENCannonRapid_313:速限公司 快速加農炮
VENDropper_111:速限公司 傳送帶脫離器
VENFilter_111:速限公司 過濾器
VENLaserMachineGun_112:速限公司 針式激光
VENLaserTurret_111:速限公司 柳葉刀激光砲塔
VENMachineGunForward_311:速限公司 火線步槍
VENTracks_112:速限公司 粗齒履帶
VENTracks_124:速限公司 颶風履帶
VENTurretRoundabout_111:速限公司 迂迴迫擊砲
HE_ArmourPlate_111:鷹眼軍事 小型裝甲板
HE_ArmourPlate_211:鷹眼軍事 中型裝甲板
HE_ArmourPlate_221:鷹眼軍事 大型裝甲板
HE_ArmourPlate_Extended_221:鷹眼軍事 缺口裝甲板
HE_ShotgunRotating_212:鷹眼軍事 軸基獵槍
VENShotgunRotating_112:速限公司 360度霰彈槍
GSOBigBertha_845:銀河政部 貝爾莎加農炮
VENMicroMissile_112:速限公司 導彈發射器
GCBooster_422:重礦工業 鷹式重型推進器
GCFlail_446:重礦工業 TB 打穀機
GC_BigPete_Consumer_222:大皮特的嘴
GSOMGunFixed_111_EC:銀河政部 ZK-50X輕型機關槍
GSOCannonTurret_111_EC:銀河政部 3.5磅加農炮特製版
GCPlasmaCutter_Angled_222_EC:重礦工業 角度光子炬
GCArticulatedDrill_423_EC:重礦工業 鉸鏈衝擊鑽
VENFlameThrower_PS4_122:速限公司 X2地獄噴火器
VENMgun_PS4_112:速限公司 暴風來福
HE_Shotgun_XboxOne_112:鷹眼軍事 犀牛霰彈槍
HE_LaserZeus_XboxOne_222:鷹眼軍事 索爾鐳射加農炮
HE_ArmourPlate_XboxOne_211:鷹眼軍事 中型裝甲板
HE_StdBlock_01_XboxOne_111:鷹眼軍事 單方塊
HE_Bracket_4AP_XboxOne_111:鷹眼軍事 邊角支架
HE_Cab_07_XboxOne_111:鷹眼軍事 “獵人”駕駛室
HE_Mini_Gun_20_XboxOne_111:鷹眼軍事 火神自動機砲
HE_RailGun_XboxOne_113:鷹眼軍事 電磁軌道炮
HE_ShotgunRotating_XboxOne_212:鷹眼軍事 軸基獵槍
HE_Wheel_Single_XboxOne_121:鷹眼軍事 直式自行車輪
HE_MachineGun_33_XboxOne_111:鷹眼軍事 高速機槍
HE_Suppressed_Mgun_XboxOne_111:鷹眼軍事 爆裂槍
HE_TurretRoundabout_XboxOne_111:鷹眼軍事 DFA導彈發射器
VENBlock_PS4_111:速限公司 基礎方塊
VENBooster_PS4_111:速限公司 小型脈衝助推器
VENCockpit_PS4_111:速限公司 POD駕駛室
VENMediumMachineGun_PS4_121:速限公司 “奧茲”衝鋒槍
